geneSymbol	Context2	DEG_chr	DEG_start	DEG_end	geneType
ANO9	AvT	chr11	417921	442072	protein_coding
SIGIRR	AvT	chr11	405711	417473	protein_coding
NRBP2	AvT	chr8	143833583	143840973	protein_coding
TNFAIP2	AvT	chr14	103121407	103137441	protein_coding
TCEAL9	AvT	chrX	103356461	103358472	protein_coding
GP1BA	AvT	chr17	4932277	4935023	protein_coding
RBM11	AvT	chr21	14216130	14228372	protein_coding
IL3RA	AvT	chrX	1335025	1382689	protein_coding
HS6ST3	AvT	chr13	96090107	96839562	protein_coding
LINC00158	AvT	chr21	25374242	25431701	lncRNA
KPNA7	AvT	chr7	99173572	99250075	protein_coding
GPRIN3	AvT	chr4	89236383	89307937	protein_coding
KRT6B	AvT	chr12	52446651	52452146	protein_coding
MUC1	AvT	chr1	155185824	155192916	protein_coding
LMNTD2	AvT	chr11	554850	560738	protein_coding
INKA1	AvT	chr3	49803240	49805030	protein_coding
NTF3	AvT	chr12	5432108	5521536	protein_coding
SYN3	AvT	chr22	32507820	33058381	protein_coding
ADARB2	AvT	chr10	1177313	1737525	protein_coding
SRL	AvT	chr16	4189374	4242083	protein_coding
NAT8L	AvT	chr4	2059327	2069089	protein_coding
CCDC190	AvT	chr1	162824458	162868957	protein_coding
RTN4RL1	AvT	chr17	1934677	2025334	protein_coding
NKAIN3	AvT	chr8	62248591	63014000	protein_coding
RASA3	AvT	chr13	113977783	114132775	protein_coding
LEMD1	AvT	chr1	205381378	205455954	protein_coding
MATN1-AS1	AvT	chr1	30718504	30726846	lncRNA
GSAP	AvT	chr7	77310751	77416419	protein_coding
AGBL4	AvT	chr1	48532854	50023954	protein_coding
BPIFB4	AvT	chr20	33079643	33111751	protein_coding
SOWAHB	AvT	chr4	76894152	76898144	protein_coding
MRTFB	AvT	chr16	14071058	14266778	protein_coding
GPAT2	AvT	chr2	96021946	96039451	protein_coding
RGS9BP	AvT	chr19	32675848	32678300	protein_coding
RXRA	AvT	chr9	134317098	134440585	protein_coding
ZNF501	AvT	chr3	44729593	44737936	protein_coding
GNG2	AvT	chr14	51826195	51979342	protein_coding
PCLO	AvT	chr7	82754012	83162930	protein_coding
ANKRD20A5P	AvT	chr18	14179395	14244811	transcribed_unprocessed_pseudogene
CYP4F3	AvT	chr19	15640795	15662825	protein_coding
UBE2H	AvT	chr7	129830732	129952977	protein_coding
HPDL	AvT	chr1	45326895	45328710	protein_coding
PDE2A	AvT	chr11	72576141	72674591	protein_coding
CYP27C1	AvT	chr2	127183832	127220385	protein_coding
CFAP73	AvT	chr12	113149716	113159526	protein_coding
OR10H1	AvT	chr19	15804549	15815664	protein_coding
KRT16	AvT	chr17	41609778	41615899	protein_coding
KRT14	AvT	chr17	41582279	41586895	protein_coding
TRABD2A	AvT	chr2	84821650	84907008	protein_coding
MAPT	AvT	chr17	45894358	46028334	protein_coding
C1QL4	AvT	chr12	49332409	49337188	protein_coding
RTN4RL2	AvT	chr11	57460528	57477534	protein_coding
ESPN	AvT	chr1	6424776	6461367	protein_coding
PLCD1	AvT	chr3	38007496	38029675	protein_coding
MITF	AvT	chr3	69738536	69968336	protein_coding
BAGE2	AvT	chr21	10454134	10516431	transcribed_unprocessed_pseudogene
TSPYL4	AvT	chr6	116249964	116254075	protein_coding
KRT12	AvT	chr17	40861303	40867223	protein_coding
BCAM	AvT	chr19	44809070	44821421	protein_coding
EPOR	AvT	chr19	11377207	11384343	protein_coding
KCNJ11	AvT	chr11	17365172	17389353	protein_coding
COL4A1	AvT	chr13	110148963	110307202	protein_coding
ATP13A5	AvT	chr3	193274789	193378820	protein_coding
TLR5	AvT	chr1	223109339	223143318	protein_coding
SAMD11	AvT	chr1	923923	944575	protein_coding
SPRY4	AvT	chr5	142310420	142326455	protein_coding
TRPV2	AvT	chr17	16415571	16437003	protein_coding
AMTN	AvT	chr4	70518569	70532743	protein_coding
AMY1C	AvT	chr1	103745126	103758726	protein_coding
C9orf153	AvT	chr9	86220265	86259657	protein_coding
PEAR1	AvT	chr1	156893666	156916432	protein_coding
PALM3	AvT	chr19	14053363	14062076	protein_coding
OVCH1	AvT	chr12	29412474	29497686	protein_coding
RINL	AvT	chr19	38867830	38878275	protein_coding
MESP2	AvT	chr15	89760591	89778754	protein_coding
C6orf132	AvT	chr6	42092233	42142620	protein_coding
ZC3H6	AvT	chr2	112275597	112340059	protein_coding
NCR3LG1	AvT	chr11	17351800	17377341	protein_coding
HES4	AvT	chr1	998962	1000172	protein_coding
IGFL1	AvT	chr19	46229742	46231243	protein_coding
PLSCR1	AvT	chr3	146511858	146544862	protein_coding
SBK1	AvT	chr16	28259246	28323849	protein_coding
GPAT2P2	AvT	chr2	97081098	97083249	transcribed_unprocessed_pseudogene
SLC24A5	AvT	chr15	48120990	48142672	protein_coding
INSC	AvT	chr11	15112424	15247208	protein_coding
SERPINA5	AvT	chr14	94561442	94593120	protein_coding
NCCRP1	AvT	chr19	39196964	39201884	protein_coding
MIR3667HG	AvT	chr22	49414523	49658432	lncRNA
HBA2	AvT	chr16	172876	173710	protein_coding
RALGAPA2	AvT	chr20	20389530	20712644	protein_coding
NKAIN2	AvT	chr6	123803865	124825640	protein_coding
LINC00319	AvT	chr21	43446565	43453902	lncRNA
H1-9P	AvT	chr17	50171514	50171936	transcribed_unitary_pseudogene
FAM221A	AvT	chr7	23680114	23703249	protein_coding
SPRED3	AvT	chr19	38388421	38399588	protein_coding
SKOR1	AvT	chr15	67819704	67834582	protein_coding
ZDHHC11	AvT	chr5	795605	858973	protein_coding
ENTPD8	AvT	chr9	137434362	137441881	protein_coding
FAM78B	AvT	chr1	166057426	166167001	protein_coding
ZNF563	AvT	chr19	12317477	12333720	protein_coding
KLRG2	AvT	chr7	139450625	139483674	protein_coding
ENSG00000188897	AvT	chr16	11359845	11527247	protein_coding
HACD4	AvT	chr9	20999509	21031640	protein_coding
RNF222	AvT	chr17	8390702	8397827	protein_coding
H1-0	AvT	chr22	37805229	37807432	protein_coding
IL1RAPL2	AvT	chrX	104566199	105767829	protein_coding
SP6	AvT	chr17	47844908	47855874	protein_coding
CLDN4	AvT	chr7	73799542	73832690	protein_coding
GRAPL	AvT	chr17	19127535	19162274	protein_coding
FAM47E	AvT	chr4	76214040	76284294	protein_coding
ZNF600	AvT	chr19	52749942	52786820	protein_coding
MAOA	AvT	chrX	43654907	43746821	protein_coding
NUGGC	AvT	chr8	28021964	28083936	protein_coding
SH2D5	AvT	chr1	20719724	20732837	protein_coding
OR2L13	AvT	chr1	248095184	248101163	protein_coding
SYCP2	AvT	chr20	59863564	59933655	protein_coding
PLEKHG4	AvT	chr16	67277510	67289499	protein_coding
FAT4	AvT	chr4	125314918	125492932	protein_coding
COLCA1	AvT	chr11	111290787	111305498	lncRNA
ZNF681	AvT	chr19	23739195	23758891	protein_coding
CTSE	AvT	chr1	206008535	206023909	protein_coding
SEMA4A	AvT	chr1	156147366	156178869	protein_coding
HRCT1	AvT	chr9	35906202	35907136	protein_coding
GREB1	AvT	chr2	11482341	11642789	protein_coding
SIRPB2	AvT	chr20	1470741	1491587	protein_coding
RYR1	AvT	chr19	38433691	38595273	protein_coding
ZNF107	AvT	chr7	64666099	64711577	protein_coding
SFTA2	AvT	chr6	30931353	30955636	protein_coding
CPNE4	AvT	chr3	131533555	132285410	protein_coding
NOXO1	AvT	chr16	1978912	1984636	protein_coding
NPIPB15	AvT	chr16	74376306	74392115	protein_coding
RFX8	AvT	chr2	101397359	101475112	protein_coding
SPTSSB	AvT	chr3	161344798	161372880	protein_coding
MYO6	AvT	chr6	75749175	75919537	protein_coding
ADH1B	AvT	chr4	99304971	99321659	protein_coding
HRH1	AvT	chr3	11137093	11263557	protein_coding
ZNF502	AvT	chr3	44712640	44723831	protein_coding
LINC00173	AvT	chr12	116533399	116536522	lncRNA
HSH2D	AvT	chr19	16134028	16158575	protein_coding
PDXDC2P-NPIPB14P	AvT	chr16	69976297	70065948	lncRNA
LCE1B	AvT	chr1	152811971	152813108	protein_coding
COL27A1	AvT	chr9	114155537	114312511	protein_coding
MVB12B	AvT	chr9	126326815	126507041	protein_coding
TMEM26	AvT	chr10	61406642	61453381	protein_coding
ZNF138	AvT	chr7	64794388	64833681	protein_coding
ZNF100	AvT	chr19	21722771	21767598	protein_coding
ANXA6	AvT	chr5	151100706	151157815	protein_coding
ZNF441	AvT	chr19	11767000	11784078	protein_coding
SLC25A29	AvT	chr14	100291116	100306547	protein_coding
SRC	AvT	chr20	37344673	37406050	protein_coding
LRRC8B	AvT	chr1	89524829	89597861	protein_coding
H3C12	AvT	chr6	27890315	27893106	protein_coding
SERPINA1	AvT	chr14	94376745	94390866	protein_coding
ZNF675	AvT	chr19	23525631	23687220	protein_coding
C5AR1	AvT	chr19	47290023	47322066	protein_coding
VEPH1	AvT	chr3	157259742	157533619	protein_coding
OGDHL	AvT	chr10	49734641	49762392	protein_coding
COL13A1	AvT	chr10	69801880	69964275	protein_coding
SLC28A3	AvT	chr9	84275457	84340758	protein_coding
ELANE	AvT	chr19	850951	856247	protein_coding
ENPP1	AvT	chr6	131807993	131895155	protein_coding
CCDC154	AvT	chr16	1434383	1444556	protein_coding
MFAP5	AvT	chr12	8637346	8672519	protein_coding
UBE2Q2P12	AvT	chr15	84491480	84500599	transcribed_unprocessed_pseudogene
SERPINB2	AvT	chr18	63871692	63903888	protein_coding
SERPINB13	AvT	chr18	63586989	63604639	protein_coding
PSAP	AvT	chr10	71816289	71851330	protein_coding
CFD	AvT	chr19	859453	869490	protein_coding
EME2	AvT	chr16	1772810	1781708	protein_coding
OCLN	AvT	chr5	69492184	69558104	protein_coding
ZNF790	AvT	chr19	36816904	36850787	protein_coding
CYRIA	AvT	chr2	16549459	16666331	protein_coding
KIF13B	AvT	chr8	29067278	29263124	protein_coding
IFNA1	AvT	chr9	21440439	21441316	protein_coding
PLCG2	AvT	chr16	81738248	81962685	protein_coding
MBP	AvT	chr18	76978827	77133683	protein_coding
ZNF273	AvT	chr7	64870172	64930981	protein_coding
LPAR1	AvT	chr9	110871773	111038863	protein_coding
MB	AvT	chr22	35606764	35637951	protein_coding
DEFB107B	AvT	chr8	7495911	7509311	protein_coding
HMGN5	AvT	chrX	81112915	81202016	protein_coding
HSD17B11	AvT	chr4	87336515	87391219	protein_coding
ZNF442	AvT	chr19	12345944	12365905	protein_coding
HOXC4	AvT	chr12	54016931	54056030	protein_coding
ZNF658B	AvT	chr9	39444304	39508885	transcribed_unprocessed_pseudogene
ZNF568	AvT	chr19	36916316	37005037	protein_coding
TPM2	AvT	chr9	35681992	35690056	protein_coding
SH3BGRL2	AvT	chr6	79537185	79703655	protein_coding
ZNF808	AvT	chr19	52527652	52564464	protein_coding
ARC	AvT	chr8	142611049	142614479	protein_coding
CCDC69	AvT	chr5	151181052	151224124	protein_coding
KLHL9	AvT	chr9	21320024	21335404	protein_coding
TUSC1	AvT	chr9	25676969	25678444	protein_coding
PAPSS2	AvT	chr10	87659613	87747708	protein_coding
ABCA4	AvT	chr1	93992834	94121148	protein_coding
DLL1	AvT	chr6	170282202	170306565	protein_coding
ECI2	AvT	chr6	4115685	4135597	protein_coding
PPP1R14C	AvT	chr6	150143044	150250392	protein_coding
ZNF358	AvT	chr19	7515292	7521027	protein_coding
GRM3	AvT	chr7	86643909	86864884	protein_coding
HSD3BP5	AvT	chr1	119601340	119609250	transcribed_unprocessed_pseudogene
SFMBT2	AvT	chr10	7158624	7411488	protein_coding
L1CAM	AvT	chrX	153861511	153886204	protein_coding
MFAP3L	AvT	chr4	169986597	170033031	protein_coding
TGM2	AvT	chr20	38127385	38168463	protein_coding
MIR429	AvT	chr1	1169005	1169087	miRNA
RNU5E-1	AvT	chr1	11908152	11908272	snRNA
RNU6-529P	AvT	chr10	87041238	87041341	snRNA
RNA5SP478	AvT	chr20	23160857	23160971	rRNA_pseudogene
ENSG00000203279	AvT	chr9	97157784	97238790	lncRNA
TDRKH-AS1	AvT	chr1	151790709	151794403	lncRNA
ZNF525	AvT	chr19	53365693	53392217	protein_coding
IQANK1	AvT	chr8	143734139	143790645	protein_coding
ENSG00000203635	AvT	chr2	1620510	1625419	lncRNA
CAPN8	AvT	chr1	223538007	223665723	protein_coding
SERTAD4-AS1	AvT	chr1	210231448	210234208	lncRNA
LINC02901	AvT	chr6	158869067	158948522	lncRNA
SAMD5	AvT	chr6	147508690	147737547	protein_coding
FAM229B	AvT	chr6	112087122	112104223	protein_coding
FANK1	AvT	chr10	125896538	126009595	protein_coding
PLPP4	AvT	chr10	120457227	120592065	protein_coding
PNLIPRP3	AvT	chr10	116427847	116477957	protein_coding
LDLRAD1	AvT	chr1	54007298	54018194	protein_coding
CT83	AvT	chrX	116461686	116462976	protein_coding
LIPK	AvT	chr10	88706249	88752776	protein_coding
LIPJ	AvT	chr10	88586753	88606976	protein_coding
INPP5B	AvT	chr1	37860696	37947077	protein_coding
LRRC37A5P	AvT	chr9	111609014	111609598	transcribed_unprocessed_pseudogene
GPRIN2	AvT	chr10	46541736	46557569	protein_coding
SYT15	AvT	chr10	46578217	46594173	protein_coding
PRRT1	AvT	chr6	32148323	32153083	protein_coding
VWA7	AvT	chr6	31765590	31777328	protein_coding
CARD16	AvT	chr11	105039092	105101431	protein_coding
C6orf15	AvT	chr6	31111223	31112575	protein_coding
MUC21	AvT	chr6	30983718	30989903	protein_coding
PRR3	AvT	chr6	30557274	30563723	protein_coding
TRIM15	AvT	chr6	30163194	30173160	protein_coding
TRIM31	AvT	chr6	30102886	30113090	protein_coding
ZFP57	AvT	chr6	29672483	29681155	protein_coding
CFAP95	AvT	chr9	69820815	69906655	protein_coding
MALRD1	AvT	chr10	19048801	19790401	protein_coding
IGKV1OR-3	AvT	chr9	65770955	65771434	IG_V_pseudogene
IGKV1OR9-1	AvT	chr9	65250543	65250826	IG_V_pseudogene
ODAD4	AvT	chr17	41930617	41966503	protein_coding
MROH6	AvT	chr8	143566192	143572772	protein_coding
FAM201A	AvT	chr9	38620474	38624990	lncRNA
GPR20	AvT	chr8	141356470	141367286	protein_coding
KRT40	AvT	chr17	40977715	40987135	protein_coding
PSG5	AvT	chr19	43166256	43186536	protein_coding
PCDHGA1	AvT	chr5	141330514	141512975	protein_coding
SPIRE2	AvT	chr16	89818179	89871319	protein_coding
AARD	AvT	chr8	116938207	116944487	protein_coding
SLFN12L	AvT	chr17	35464249	35537683	protein_coding
LINC02898	AvT	chr2	41935368	41956806	lncRNA
FRG2	AvT	chr4	190024367	190027257	protein_coding
CFAP96	AvT	chr4	185426014	185449828	protein_coding
ZBTB10	AvT	chr8	80485596	80526265	protein_coding
LGR4	AvT	chr11	27365961	27472821	protein_coding
PSMB10	AvT	chr16	67934506	67936864	protein_coding
NT5M	AvT	chr17	17303331	17347663	protein_coding
ENSG00000205325	AvT	chr17	14767583	14780686	lncRNA
ADGRG1	AvT	chr16	57610652	57665580	protein_coding
MT1A	AvT	chr16	56638202	56640087	protein_coding
CFI	AvT	chr4	109731008	109802195	protein_coding
SAMD9	AvT	chr7	93099513	93118023	protein_coding
EXOC3L4	AvT	chr14	103094538	103110570	protein_coding
CALML3-AS1	AvT	chr10	5510036	5551111	lncRNA
MUC19	AvT	chr12	40393395	40570832	protein_coding
DPF3	AvT	chr14	72609034	72894101	protein_coding
DENND1C	AvT	chr19	6467207	6482557	protein_coding
ARRDC5	AvT	chr19	4890437	4902948	protein_coding
ENSG00000205794	AvT	chr4	40043199	40044135	transcribed_processed_pseudogene
KLRC2	AvT	chr12	10426854	10442300	protein_coding
RFPL3S	AvT	chr22	32359886	32382106	lncRNA
ENSG00000205890	AvT	chr16	3032481	3039133	lncRNA
NYNRIN	AvT	chr14	24399003	24419304	protein_coding
TMEM191C	AvT	chr22	21466423	21471269	protein_coding
HBA1	AvT	chr16	176680	177522	protein_coding
LINC02346	AvT	chr15	25902119	26053125	lncRNA
ATP10A	AvT	chr15	25677273	25865184	protein_coding
ANKRD20A9P	AvT	chr13	18816718	18871967	transcribed_unprocessed_pseudogene
H1-10-AS1	AvT	chr3	129315392	129391296	lncRNA
VGLL3	AvT	chr3	86876388	86991149	protein_coding
COLQ	AvT	chr3	15450132	15521928	protein_coding
RNVU1-15	AvT	chr1	144412576	144412740	snRNA
MIR200A	AvT	chr1	1167863	1167952	miRNA
MIR200B	AvT	chr1	1167104	1167198	miRNA
DIO2	AvT	chr14	80197526	80387757	protein_coding
AKR7L	AvT	chr1	19265982	19274194	protein_coding
PRR22	AvT	chr19	5782960	5784746	protein_coding
LINC02693	AvT	chr17	21428263	21574517	lncRNA
KRTAP2-3	AvT	chr17	41059240	41060114	protein_coding
RTL8B	AvT	chrX	135020513	135022542	protein_coding
RNF208	AvT	chr9	137220246	137222290	protein_coding
MAP10	AvT	chr1	232805416	232809929	protein_coding
DENND1B	AvT	chr1	197504748	197775706	protein_coding
LPAL2	AvT	chr6	160453428	160511007	transcribed_unprocessed_pseudogene
YBX1P4	AvT	chr7	152128879	152129686	processed_pseudogene
ARHGEF35	AvT	chr7	144182888	144195879	protein_coding
FIRRE	AvT	chrX	131688779	131830928	lncRNA
GBP7	AvT	chr1	89131742	89176062	protein_coding
DNAJC9	AvT	chr10	73183362	73247280	protein_coding
RPL21P70	AvT	chr2	31290762	31291604	processed_pseudogene
RPL31P44	AvT	chr10	52389112	52389488	processed_pseudogene
S1PR3	AvT	chr9	88990863	89005155	protein_coding
KRT8P37	AvT	chr10	8513687	8515106	transcribed_processed_pseudogene
DNASE1	AvT	chr16	3611728	3680143	protein_coding
CLDN9	AvT	chr16	3012923	3014505	protein_coding
ENSG00000213976	AvT	chr19	21382865	21387177	unprocessed_pseudogene
UCA1	AvT	chr19	15828206	15836328	lncRNA
FBXO16	AvT	chr8	28348287	28490278	protein_coding
TSPAN4	AvT	chr11	840686	867120	protein_coding
CPSF1P1	AvT	chr22	32269381	32273110	transcribed_processed_pseudogene
CYP4F30P	AvT	chr2	130681229	130681955	transcribed_unprocessed_pseudogene
LINC00887	AvT	chr3	194200261	194324520	lncRNA
SH3D21	AvT	chr1	36306368	36329340	protein_coding
SCART1	AvT	chr10	133453928	133523558	protein_coding
POU2AF3	AvT	chr11	111298546	111308735	protein_coding
AZGP1P1	AvT	chr7	99980762	99987535	transcribed_unprocessed_pseudogene
NEURL1B	AvT	chr5	172641248	172691540	protein_coding
STARD10	AvT	chr11	72753216	72794047	protein_coding
LINC01913	AvT	chr2	41860155	41894050	lncRNA
ENSG00000214797	AvT	chr11	59268876	59284033	lncRNA
KRT16P3	AvT	chr17	20501669	20504283	transcribed_unprocessed_pseudogene
KRT16P1	AvT	chr17	18439985	18442734	transcribed_unprocessed_pseudogene
LINC01588	AvT	chr14	49927213	50105121	lncRNA
HLA-F-AS1	AvT	chr6	29707518	29828496	lncRNA
CRPPA	AvT	chr7	16087525	16502504	protein_coding
CD27-AS1	AvT	chr12	6439001	6452092	lncRNA
GRID2IP	AvT	chr7	6496778	6551461	protein_coding
ENSG00000215146	AvT	chr10	42336101	42353011	transcribed_unprocessed_pseudogene
MUC5AC	AvT	chr11	1157953	1201138	protein_coding
MIR99AHG	AvT	chr21	15928296	16646364	lncRNA
LINC00598	AvT	chr13	40079106	40535807	lncRNA
TPTE2P4	AvT	chrY	26508213	26579690	transcribed_unprocessed_pseudogene
ENSG00000215512	AvT	chr18	15307663	15330282	transcribed_unprocessed_pseudogene
ANKRD20A11P	AvT	chr21	13909574	13979911	transcribed_unprocessed_pseudogene
ZNF962P	AvT	chr13	18467172	18485448	unprocessed_pseudogene
ARHGAP27P1-BPTFP1-KPNA2P3	AvT	chr17	64749663	64781707	lncRNA
TNFRSF25	AvT	chr1	6460786	6466181	protein_coding
THAP3P1	AvT	chr1	104073010	104073537	transcribed_processed_pseudogene
IGSF23	AvT	chr19	44613563	44636787	protein_coding
ENSG00000217275	AvT	chr6	26202156	26202654	transcribed_processed_pseudogene
ENSG00000217455	AvT	chr7	3074453	3194812	lncRNA
PTPN11BP	AvT	chr1	1063079	1069355	transcribed_unprocessed_pseudogene
TENM3	AvT	chr4	182143918	182803024	protein_coding
LINC01644	AvT	chr22	47402297	47488149	lncRNA
UMAD1	AvT	chr7	7640661	7968020	protein_coding
FAM228B	AvT	chr2	24076526	24169642	protein_coding
ZNF433-AS1	AvT	chr19	11987617	12046275	lncRNA
YAP1P1	AvT	chr6	147406889	147408281	processed_pseudogene
ZNF816-ZNF321P	AvT	chr19	52928475	52962823	protein_coding
PSG7	AvT	chr19	42924132	42937207	protein_coding
ZNF880	AvT	chr19	52369917	52393738	protein_coding
SLC12A8	AvT	chr3	125082636	125213229	protein_coding
APOL6	AvT	chr22	35648386	35668404	protein_coding
FADS3	AvT	chr11	61873519	61892136	protein_coding
MYBPHL	AvT	chr1	109292363	109307213	protein_coding
ENSG00000222042	AvT	chr21	25169427	25362494	lncRNA
FTH1P10	AvT	chr5	17353875	17354424	transcribed_processed_pseudogene
LINC01778	AvT	chr1	30824000	30834864	lncRNA
LINC01615	AvT	chr6	169157162	169182878	lncRNA
RPL23AP53	AvT	chr8	213251	213707	transcribed_processed_pseudogene
ENSG00000223523	AvT	chr2	188596444	188839445	lncRNA
CKMT1A	AvT	chr15	43692886	43702501	protein_coding
TINCR	AvT	chr19	5558167	5578349	protein_coding
IGSF3P2	AvT	chr2	91736726	91767439	transcribed_unprocessed_pseudogene
SIRPB3P	AvT	chr20	1665283	1708200	transcribed_unprocessed_pseudogene
LINC02593	AvT	chr1	916865	925614	lncRNA
PRR15-DT	AvT	chr7	29471325	29685255	lncRNA
HLA-DPB1	AvT	chr6	33073786	33089696	protein_coding
ENSG00000223867	AvT	chr7	16938225	16938557	processed_pseudogene
KRT8P8	AvT	chrX	152479577	152481024	processed_pseudogene
SNHG14	AvT	chr15	24978583	25420336	lncRNA
SLC44A3-AS1	AvT	chr1	94672918	94674161	transcribed_processed_pseudogene
CYP4F25P	AvT	chr9	64465463	64466498	transcribed_unprocessed_pseudogene
INHBA-AS1	AvT	chr7	41693884	41779388	lncRNA
SNX18P9	AvT	chr9	64439346	64440180	transcribed_processed_pseudogene
PITX1-AS1	AvT	chr5	135033280	135358219	lncRNA
LINC01133	AvT	chr1	159941373	160025027	lncRNA
ENSG00000224260	AvT	chr1	209516746	209567795	lncRNA
PINCR	AvT	chrX	43176986	43226598	lncRNA
LINC01527	AvT	chr1	152930040	152949210	lncRNA
ANKRD30BP2	AvT	chr21	13038208	13067033	transcribed_unprocessed_pseudogene
GTF2IP5	AvT	chr7	65773620	65802067	transcribed_unprocessed_pseudogene
RPL12P14	AvT	chr1	15792796	15793285	processed_pseudogene
ENSG00000224376	AvT	chr2	231388976	231395125	lncRNA
C4B	AvT	chr6	32014730	32035973	protein_coding
KRT8P45	AvT	chr1	157073257	157074703	processed_pseudogene
MIR3659HG	AvT	chr1	38031125	38119530	lncRNA
ZMIZ1-AS1	AvT	chr10	78834497	79068530	lncRNA
LINC00885	AvT	chr3	196141940	196193538	lncRNA
ENSG00000224715	AvT	chr22	47329227	47373541	lncRNA
MUC20P1	AvT	chr3	195614947	195620233	transcribed_unprocessed_pseudogene
DUX4L9	AvT	chr4	190021407	190022665	unprocessed_pseudogene
LINC00393	AvT	chr13	73412982	73662210	lncRNA
POT1-AS1	AvT	chr7	124929862	125482966	lncRNA
ENSG00000224905	AvT	chr21	14027363	14175307	lncRNA
LINC02262	AvT	chr4	117314597	117360655	lncRNA
PRRT4	AvT	chr7	128350325	128361690	protein_coding
MIR137HG	AvT	chr1	97933474	98054717	lncRNA
ENSG00000225258	AvT	chr2	180571712	180692454	lncRNA
LINC01770	AvT	chr1	1429194	1435625	lncRNA
ARL6IP1P2	AvT	chr10	36995023	36995585	processed_pseudogene
IGKV1OR9-2	AvT	chr9	40641841	40642117	IG_V_pseudogene
SFTA1P	AvT	chr10	10784436	10798639	lncRNA
ENSG00000225407	AvT	chr5	76691439	76716215	lncRNA
LINC01107	AvT	chr2	238498678	238555054	lncRNA
LINC02476	AvT	chr7	119495024	119950825	lncRNA
C2CD4D	AvT	chr1	151837818	151840557	protein_coding
ENSG00000225594	AvT	chr2	132087289	132102564	unprocessed_pseudogene
ENSG00000225676	AvT	chr22	30182818	30207255	lncRNA
FAM225B	AvT	chr9	113095149	113111543	lncRNA
SLC26A6	AvT	chr3	48625718	48635493	protein_coding
ENSG00000225703	AvT	chr7	76971083	76977039	lncRNA
ENSG00000225720	AvT	chr22	39091586	39092110	transcribed_unprocessed_pseudogene
TMEM230P1	AvT	chrX	107939263	107939642	processed_pseudogene
ACE2-DT	AvT	chrX	15602858	15621485	lncRNA
FRG2B	AvT	chr10	133623895	133626795	protein_coding
ENSG00000225963	AvT	chr2	230121370	230174223	lncRNA
GTF2IP14	AvT	chr7	65084103	65100232	transcribed_unprocessed_pseudogene
FAM88F	AvT	chr9	62532318	62632880	lncRNA
ENSG00000226197	AvT	chr9	13323319	13836651	lncRNA
LEMD1-AS1	AvT	chr1	205373219	205422954	lncRNA
GAS1RR	AvT	chr9	86948583	87013294	lncRNA
TMEM191A	AvT	chr22	20702007	20704490	transcribed_unprocessed_pseudogene
NPY6R	AvT	chr5	137808211	137809322	transcribed_unitary_pseudogene
ENSG00000226329	AvT	chr7	22863874	22881350	transcribed_unprocessed_pseudogene
IFNA20P	AvT	chr9	21321300	21321827	unprocessed_pseudogene
LINC02542	AvT	chr6	81843774	82169391	lncRNA
CYP4F26P	AvT	chr9	33580695	33607874	lncRNA
ENSG00000226592	AvT	chr7	145269514	145270384	processed_pseudogene
FTLP3	AvT	chr20	4023917	4024444	processed_pseudogene
TEX41	AvT	chr2	144666312	145262988	lncRNA
FAM66C	AvT	chr12	8180204	8226278	lncRNA
LINC00840	AvT	chr10	43778946	43901405	lncRNA
SUGT1P1	AvT	chr9	33503655	33510711	transcribed_unprocessed_pseudogene
LINC00348	AvT	chr13	71015042	71168417	lncRNA
ERVMER34-1	AvT	chr4	52722618	52751897	protein_coding
ENSG00000226904	AvT	chr9	68222231	68229312	lncRNA
BSN-DT	AvT	chr3	49534453	49554374	lncRNA
ENSG00000226965	AvT	chr7	110108030	110534923	lncRNA
ENSG00000226990	AvT	chr10	8329226	8463531	lncRNA
FKBP14-AS1	AvT	chr7	29988600	30027543	lncRNA
SLC8A1-AS1	AvT	chr2	39786453	40255209	lncRNA
GTF2IP7	AvT	chr7	76099440	76101408	transcribed_unprocessed_pseudogene
ENSG00000227066	AvT	chr1	20154117	20160568	lncRNA
LMCD1-AS1	AvT	chr3	7951263	8611961	lncRNA
ENSG00000227120	AvT	chr2	95436133	95436556	transcribed_processed_pseudogene
ZNF717	AvT	chr3	75678660	75785591	protein_coding
ST7-AS1	AvT	chr7	116952446	116954334	lncRNA
ZNF692-DT	AvT	chr1	248859161	248864818	lncRNA
SMIM2-AS1	AvT	chr13	44110361	44240517	lncRNA
KRT16P2	AvT	chr17	16829999	16832753	transcribed_unprocessed_pseudogene
ENSG00000227355	AvT	chr9	121369530	121548655	lncRNA
GOLGA7B-DT	AvT	chr10	97818479	97851012	lncRNA
SLC9B1P4	AvT	chr22	16428947	16476870	unprocessed_pseudogene
HPN-AS1	AvT	chr19	35027447	35106898	lncRNA
ENSG00000227479	AvT	chr2	240227474	240256429	lncRNA
ENSG00000227486	AvT	chrX	55908037	56209271	lncRNA
ENSG00000227496	AvT	chr1	225685933	225752258	lncRNA
SLC2A1-DT	AvT	chr1	42959028	42996814	lncRNA
ENSG00000227606	AvT	chr19	43153279	43160862	lncRNA
ALG1L8P	AvT	chr11	67785273	67792335	transcribed_unprocessed_pseudogene
STEAP2-AS1	AvT	chr7	89882353	90211665	lncRNA
LINC00111	AvT	chr21	41679181	41697336	lncRNA
CALR4P	AvT	chr1	51561866	51594897	transcribed_unitary_pseudogene
